vvvvvv CALLID   MSID            USERNAME               IP                            TIME-IDLE
xTC.AI 00ee504f 302220551083249 n/a                    100.116.115.44  06h54m20s
xTC.AI 00ee514b 302220551690188 n/a                    100.117.89.159  06h28m22s
xTC.AI 00ee5674 302220035455001 n/a                    100.117.159.7   04h35m38s
xTC.AI 00ee6128 302220321538023 n/a                    100.116.68.170  01h28m28s
xTC.AI 013a2aed 302220035453106 n/a                    100.121.9.250   16h41m57s
xTC.AI 013a2af2 302220322114055 n/a                    100.121.11.187  16h41m57s
xTC.DI 013a2af3 302220318357701 n/a                    100.121.11.253  16h41m56s
xTC.AI 013a2c14 302220322357652 n/a                    100.116.118.242 16h38m09s
xTC.AI 013a2c15 302220802630121 n/a                    100.116.120.43  16h38m09s
xTC.AI 013a2c17 302220804328305 n/a                    100.116.27.29   16h38m06s
xTC.DI 013a2c19 302220545845365 n/a                    100.116.42.156  16h38m05s
xTC.AI 013a2c1a 302220322665221 n/a                    100.116.64.18   16h38m02s
xTC.DI 013a2c4b 302220319799105 n/a                    100.116.110.104 16h36m43s
xTC.AI 013a35de 302220551720544 n/a                    100.120.205.165 14h20m41s
xTC.AI 013a35e2 302220322349812 n/a                    100.120.198.223 14h20m08s
xTC.AI 013a37d9 302220035494343 n/a                    100.117.118.223 13h05m57s
xTC.AI 013a37da 302220035458952 n/a                    100.117.42.92   13h05m55s
xTC.DI 013a3ad6 302220322369023 n/a                    100.117.190.151 11h29m43s
xTC.AI 013a3cfe 302220318725965 n/a                    100.117.43.207  10h44m33s
xTC.AI 013a452f 302220320472762 n/a                    100.116.6.131   06h21m41s
xTC.AI 013a45d0 302220318727464 n/a                    100.116.154.149 06h13m23s
xTC.AI 013a462b 302220802844086 n/a                    100.117.168.12  06h08m03s
xTC.AI 013a46a4 302220322666323 n/a                    100.120.141.81  05h58m44s
xTC.AI 013a5058 302220322215613 n/a                    100.117.19.61   03h05m35s
xTC.DI 013a5146 302220035454677 n/a                    100.117.158.244 02h49m16s
xTC.AI 013a53fb 302220318704012 n/a                    100.117.144.13  02h06m08s
xTC.AI 0184db31 302220035408771 n/a                    100.116.38.112  61h21m57s
xTC.AI 0184dbfc 302220802582584 n/a                    100.116.43.77   61h06m22s
xTC.AI 0185801d 302220041461309 n/a                    100.121.24.43   16h41m40s
xTC.AI 01858114 302220802682663 n/a                    100.116.10.123  16h38m09s
xTC.AI 01858115 302220802368503 n/a                    100.116.17.57   16h38m08s
xTC.AI 01858116 302220809818881 n/a                    100.116.26.83   16h38m07s
xTC.AI 01858117 302220551329353 n/a                    100.116.41.10   16h38m06s
xTC.AI 01858119 302220551633141 n/a                    100.116.42.222  16h38m06s
xTC.AI 01858128 302220551706170 n/a                    100.116.95.195  16h37m45s
xTC.AI 01858697 302220551081445 n/a                    100.116.127.135 15h59m26s
xTC.AI 01858bfd 302220802450521 n/a                    100.117.134.68  15h31m56s
xTC.AI 01858c08 302220320383604 n/a                    100.116.133.108 15h31m49s
xTC.AI 01858c0c 302220320982853 n/a                    100.117.153.110 15h31m44s
xTC.AI 01858e5c 302220318364917 n/a                    100.117.139.99  14h22m08s
xTC.AI 01858e77 302220321535968 n/a                    100.120.179.181 14h20m28s
xTC.DI 01858e78 302220322289954 n/a                    100.120.171.191 14h20m20s
xTC.AI 01858e7a 302220320960546 n/a                    100.120.253.51  14h20m18s
xTC.DI 01859029 302220322939212 n/a                    100.116.31.39   13h34m44s
xTC.AI 0185912d 302220802468123 n/a                    100.117.113.111 13h05m48s
xTC.AI 0185912e 302220551672986 n/a                    100.116.48.71   13h05m29s
xTC.AI 01859130 302220802731870 n/a                    100.117.1.173   13h04m21s
xTC.AI 01859225 302220041701095 n/a                    100.117.162.180 12h18m05s
xTC.AI 018596d5 302220550857580 n/a                    100.116.92.23   09h19m58s
xTC.DI 01859ce9 302220551343352 n/a                    100.116.2.252   06h27m44s
xTC.AI 0185a26b 302220321550319 n/a                    100.116.163.77  04h37m21s
xTC.DI 0185a3b5 302220551687989 n/a                    100.116.39.119  04h12m10s
xTC.AI 0185a4ea 302220551387685 n/a                    100.116.158.29  03h48m17s
xTC.DI 0185a83e 302220802620028 n/a                    100.117.150.149 02h49m16s
xTC.DI 0185a891 302220322662190 n/a                    100.117.91.135  02h42m39s
xTC.AI 01ced7f4 302220551111715 n/a                    100.121.14.45   16h41m56s
xTC.AI 01ced912 302220321295977 n/a                    100.116.30.183  16h38m07s
xTC.AI 01ced915 302220322286764 n/a                    100.116.53.125  16h38m04s
xTC.DI 01ced916 302220551623929 n/a                    100.116.64.197  16h38m03s
xTC.AI 01ced919 302220551105422 n/a                    100.116.79.140  16h37m57s
xTC.AI 01ced91d 302220322224806 n/a                    100.116.87.222  16h37m51s
xTC.AI 01cedbbd 302220802688491 n/a                    100.116.119.231 16h22m49s
xTC.AI 01cee3a3 302220320982354 n/a                    100.117.189.167 15h31m48s
xTC.DI 01cee3a4 302220322573914 n/a                    100.116.133.42  15h31m46s
xTC.AI 01cee46f 302220321535024 n/a                    100.117.162.71  15h15m39s
xTC.AI 01cee63e 302220322337364 n/a                    100.120.247.24  14h20m12s
xTC.AI 01cee8ac 302220321295744 n/a                    100.117.43.15   13h06m50s
xTC.AI 01cee8af 302220551089551 n/a                    100.117.78.65   13h05m13s
xTC.DI 01ceece0 302220318724308 n/a                    100.121.51.139  09h56m03s
xTC.AI 01cef068 302220802843387 n/a                    100.117.141.54  07h48m18s
xTC.AI 01cef340 302220318723973 n/a                    100.116.1.237   06h28m42s
xTC.AI 01cefe96 302220320377771 n/a                    100.117.137.230 03h17m00s
xTC.DI 01ceffce 302220322225077 n/a                    100.116.139.30  02h49m16s
xTC.DI 01cf053d 302220320386834 n/a                    100.116.88.255  01h09m07s
xTC.AI 021f958d 302220318651306 n/a                    100.116.110.198 42h22m49s
xTC.DI 022011c8 302220322286896 n/a                    100.116.13.248  16h38m08s
xTC.AI 022011ce 302220802682989 n/a                    100.116.45.84   16h38m05s
xTC.AI 022011d3 302220551379103 n/a                    100.116.72.37   16h38m01s
xTC.AI 022011e2 302220035415623 n/a                    100.116.93.143  16h37m48s
xTC.AI 022015a7 302220551325708 n/a                    100.116.119.37  16h24m42s
xTC.AI 022022ae 302220035486436 n/a                    100.116.157.217 15h32m11s
xTC.AI 022022be 302220035456117 n/a                    100.117.161.92  15h31m47s
xTC.AI 022022c0 302220318397940 n/a                    100.117.141.180 15h31m44s
xTC.AI 02202489 302220318724279 n/a                    100.117.141.167 14h46m05s
xTC.AI 02202593 302220041232361 n/a                    100.120.247.240 14h20m07s
xTC.AI 0220282b 302220802362145 n/a                    100.117.78.218  13h06m24s
xTC.AI 02202830 302220550987651 n/a                    100.117.3.89    13h06m11s
xTC.AI 0220285a 302220550874588 n/a                    100.117.16.111  13h04m27s
xTC.DI 02202959 302220807252900 n/a                    100.117.110.100 12h17m32s
xTC.DI 02202e6b 302220322293601 n/a                    100.116.88.38   09h33m42s
xTC.AI 02203b2b 302220322080914 n/a                    100.116.162.112 04h55m06s
xTC.AI 02203ef6 302220551659582 n/a                    100.116.135.117 03h42m38s
xTC.AI 0220412d 302220318726598 n/a                    100.120.134.173 03h07m21s
xTC.DI 0220433c 302220322296481 n/a                    100.116.167.80  02h38m13s
xTC.AI 0220468e 302220322215221 n/a                    100.116.64.152  01h46m35s
xTC.DI 0220480e 302220551052701 n/a                    100.116.174.167 01h16m04s
xTC.AI 026aa4e6 302220320471491 n/a                    100.121.3.158   16h42m02s
xTC.AI 026aa60c 302220322664236 n/a                    100.116.9.108   16h38m10s
xTC.DI 026aa60d 302220551378927 n/a                    100.116.13.46   16h38m10s
xTC.AI 026aa612 302220550925011 n/a                    100.116.42.100  16h38m07s
xTC.AI 026aad89 302220320384889 n/a                    100.121.35.1    16h00m38s
xTC.AI 026ab085 302220322297967 n/a                    100.116.152.118 15h31m49s
